,,,,
Song,Key,Tuning,Capo,Capo then tune:
Not Fade Away,E maj,STD,,
Let's Spend the Night Together,D maj,STD,,
Get Off My Cloud,E maj,STD,,
Heart Of Stone,C maj,STD,,
Under My Thumb,F# min,STD,,
Time Is On My Side,F maj,STD,,
Carol,A maj,STD,,
Love In Vain,G maj,STD,,
Live With Me,A maj,STD,,
Let It Bleed,D maj,STD,,
Gimme Shelter,C# maj,E,,
Jumpin Jack Flash,B maj,E,,
Monkey Man,E maj,STD,2,F# - B - E - A - C# - F#
Paint It Black,E min,STD,2,F# - B - E - A - C# - F#
Tumblin Dice,B maj,G,4,x - B - Gb - B - Eb - Gb
Street Fighting Man,B maj,G ,5,B - Gb - B - Eb - Gb
Sympathy for the Devil,E maj,STD,,
Start Me Up,F maj,G ,,
All Down The Line,G maj,G,,
Can't You Hear Me Knockin,D maj,G,,
She's So Cold,G maj,STD,,
Emotional Rescue,Bb maj,STD,,
Hang Fire,A maj,STD,,
Before They Make Me Run,G maj,G,,
Honky Tonk Women,G maj,G,,
Brown Sugar,C maj,G,,
It's Only Rock and Roll,E maj,STD,,
Dead Flowers,D maj,STD,,
Miss You,A min,STD,,
Beast of Burden,E maj,STD,,
Rocks Off,E maj,STD,,
Satisfaction,E maj,E,,
